Dijkstra,Inc,5000,0.2,0.0004264490016794298
Bellman-Ford,Dec,5000,0.2,0.20672144900163403
Dijkstra,Dec,5000,0.2,0.0033362680005666334
Dynamic,Inc,5000,0.2,0.004098194000107469
Dynamic,Dec,5000,0.2,0.034127989998523844
Bellman-Ford,Mixed,5000,0.2,0.024685005999344867
Dijkstra,Mixed,5000,0.2,0.0003844599996227771
Dynamic,Mixed,5000,0.2,0.033625138999923365
Bellman-Ford,Inc,5000,0.3,0.02470660700055305
Dijkstra,Inc,5000,0.3,0.0003893289976986125
Bellman-Ford,Dec,5000,0.3,0.16204571699927328
Dijkstra,Dec,5000,0.3,0.002598285998828942
Dynamic,Inc,5000,0.3,0.015139831997657893
Dynamic,Dec,5000,0.3,0.03165235399865196
Bellman-Ford,Mixed,5000,0.3,0.2388636409996252
Dijkstra,Mixed,5000,0.3,0.0037485200009541586
Dynamic,Mixed,5000,0.3,0.039809630001400365
Bellman-Ford,Inc,5000,0.4,0.03036595499725081
Dijkstra,Inc,5000,0.4,0.00039415799983544275
Bellman-Ford,Dec,5000,0.4,0.032168290999834426
Dijkstra,Dec,5000,0.4,0.0004934839998895768
Dynamic,Inc,5000,0.4,0.005546545999095542
Dynamic,Dec,5000,0.4,0.029527184000471607
Bellman-Ford,Mixed,5000,0.4,0.2124725789981312
Dijkstra,Mixed,5000,0.4,0.003496698001981713
Dynamic,Mixed,5000,0.4,0.019716992999747163
Bellman-Ford,Inc,5000,0.5,0.030184416002157377
Dijkstra,Inc,5000,0.5,0.0003957920016546268
Bellman-Ford,Dec,5000,0.5,0.024433515998680377
Dijkstra,Dec,5000,0.5,0.0003728580013557803
Dynamic,Inc,5000,0.5,0.0034751879975374322
Dynamic,Dec,5000,0.5,0.0030807490002189297
Bellman-Ford,Mixed,5000,0.5,0.16592337900146958
Dijkstra,Mixed,5000,0.5,0.002766510002402356
Dynamic,Mixed,5000,0.5,0.01438950599913369
Bellman-Ford,Inc,10000,0.1,0.06812590700064902
Dijkstra,Inc,10000,0.1,0.0007909809974080417
Bellman-Ford,Dec,10000,0.1,0.048433569998451276
Dijkstra,Dec,10000,0.1,0.0007376409994321875
Dynamic,Inc,10000,0.1,0.007062675998895429
Dynamic,Dec,10000,0.1,0.0018871339998440817
Bellman-Ford,Mixed,10000,0.1,0.04866120599763235
Dijkstra,Mixed,10000,0.1,0.000833591002447065
Dynamic,Mixed,10000,0.1,0.001615335000678897
Bellman-Ford,Inc,10000,0.2,0.05448388000149862
Dijkstra,Inc,10000,0.2,0.0007425710027746391
